term_id,term_str,n,num,pos_max,stop,p_stem
809,555,1,1,CD,0,555
810,556,1,1,CD,0,556
811,557,1,1,CD,0,557
812,558,1,1,CD,0,558
813,559,1,1,CD,0,559
814,55th,1,1,CD,0,55th
815,56,5,1,CD,0,56
816,560,4,1,CD,0,560
817,561,1,1,CD,0,561
818,562,1,1,CD,0,562
819,563,1,1,CD,0,563
820,564,1,1,CD,0,564
821,565,1,1,CD,0,565
822,566,1,1,CD,0,566
823,567,8,1,JJ,0,567
824,568,1,1,CD,0,568
825,569,1,1,CD,0,569
826,57,7,1,CD,0,57
827,570,1,1,CD,0,570
828,571,1,1,CD,0,571
829,572,1,1,CD,0,572
830,573,1,1,CD,0,573
831,574,1,1,CD,0,574
832,575,1,1,CD,0,575
833,576,1,1,CD,0,576
834,577,1,1,CD,0,577
835,578,1,1,CD,0,578
836,579,1,1,CD,0,579
837,58,3,1,CD,0,58
838,580,1,1,CD,0,580
839,581,1,1,CD,0,581
840,582,1,1,CD,0,582
841,583,1,1,CD,0,583
842,584,1,1,CD,0,584
843,585,1,1,CD,0,585
844,586,1,1,CD,0,586
845,587,1,1,CD,0,587
846,588,1,1,CD,0,588
847,589,1,1,CD,0,589
848,59,9,1,CD,0,59
849,590,1,1,CD,0,590
850,591,1,1,CD,0,591
851,592,1,1,CD,0,592
852,593,1,1,CD,0,593
853,594,1,1,CD,0,594
854,595,1,1,CD,0,595
855,596,1,1,CD,0,596
856,597,1,1,CD,0,597
857,598,1,1,CD,0,598
858,599,1,1,CD,0,599
859,5doubleo,1,1,JJ,0,5doubleo
860,5foot7,1,1,JJ,0,5foot7
861,5k,2,1,CD,0,5k
862,5s,2,1,CD,0,5s
863,5th,2,1,CD,0,5th
864,6,72,1,CD,0,6
